"Jahr";"Stadtraum";"Wegezweck";"Anteil Weg nur zu Fuß";"Anteil Weg mit Fahrrad";"Anteil Weg mit Straßenbahn";"Anteil Weg mit Bus (Stadtverk.)";"Anteil Weg mit Bus (Regionalverk.)";"Anteil Weg mit S-Bahn/Bahn AG";"Anteil Weg mit Motorrad etc.";"Anteil Weg als Pkw-Mitfahrer";"Anteil Weg als Pkw-Selbstfahrer";"Anteil Weg mit sonstigem Verkehrsmittel"
"2014";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Weg zur Arbeit";0;12;24;18;0;12;1;5;28;0
"2014";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Weg zum Einkaufen";10;11;20;12;0;4;0;8;35;0
"2014";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Weg zur Arbeit";6;12;11;19;0;4;2;2;44;0
"2014";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Weg zum Einkaufen";16;8;9;10;0;1;2;11;42;1
"2014";"13 Südvorstadt, Zschertnitz";"Weg zur Arbeit";11;20;21;19;0;9;1;1;18;1
"2014";"13 Südvorstadt, Zschertnitz";"Weg zum Einkaufen";15;15;19;18;0;4;0;8;22;0
"2014";"14 Mockritz, Coschütz, Plauen";"Weg zur Arbeit";4;18;20;17;0;6;0;3;33;0
"2014";"14 Mockritz, Coschütz, Plauen";"Weg zum Einkaufen";12;15;14;8;0;2;1;8;41;0
"2014";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Weg zur Arbeit";2;19;24;16;0;5;0;2;30;2
"2014";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Weg zum Einkaufen";13;11;17;10;0;1;0;6;41;0
"2014";"16 Gorbitz";"Weg zur Arbeit";4;8;32;19;0;6;0;1;30;0
"2014";"16 Gorbitz";"Weg zum Einkaufen";19;9;23;11;0;3;0;7;28;1
"2014";"17 Briesnitz und westliche OS";"Weg zur Arbeit";5;3;17;15;0;5;2;5;49;0
"2014";"17 Briesnitz und westliche OS";"Weg zum Einkaufen";3;5;9;5;0;2;1;11;63;1
"2014";"18 Dresden gesamt";"Weg zur Arbeit";4;19;20;14;0;6;1;3;32;1
"2014";"18 Dresden gesamt";"Weg zum Einkaufen";16;15;15;9;0;2;0;8;35;1
