"Jahr";"Quartal";"Monat";"Betriebsart";"Tourismus_Ankünfte";"Tourismus_Übernachtungen";"Tourismus_Betriebe";"Tourismus_Betten"
"2001";"4. Quartal";"12";"Pensionen";2279;5719;33;803
"2001";"4. Quartal";"12";"Jugendherbergen";3807;8020;6;764
"2001";"4. Quartal";"12";"sonstige";332;1289;5;122
"2002";"1. Quartal";"01";"Hotels";34797;67349;65;10658
"2002";"1. Quartal";"01";"Hotels garni";5347;11277;24;2081
"2002";"1. Quartal";"01";"Gasthöfe";681;1382;14;308
"2002";"1. Quartal";"01";"Pensionen";1411;3595;33;803
"2002";"1. Quartal";"01";"Jugendherbergen";2004;4241;6;795
"2002";"1. Quartal";"01";"sonstige";170;611;5;122
"2002";"1. Quartal";"02";"Hotels";41783;82970;64;10613
"2002";"1. Quartal";"02";"Hotels garni";5319;11220;24;2081
"2002";"1. Quartal";"02";"Gasthöfe";726;1366;14;308
"2002";"1. Quartal";"02";"Pensionen";1523;4045;32;768
"2002";"1. Quartal";"02";"Jugendherbergen";2707;6160;6;795
"2002";"1. Quartal";"02";"sonstige";234;1013;5;122
"2002";"1. Quartal";"03";"Hotels";62514;129199;65;11110
"2002";"1. Quartal";"03";"Hotels garni";8562;19775;24;2069
"2002";"1. Quartal";"03";"Gasthöfe";1186;2609;14;308
"2002";"1. Quartal";"03";"Pensionen";2191;5931;33;803
"2002";"1. Quartal";"03";"Jugendherbergen";5350;13191;6;795
"2002";"1. Quartal";"03";"sonstige";357;1518;6;182
"2002";"2. Quartal";"04";"Hotels";76801;163761;65;11110
"2002";"2. Quartal";"04";"Hotels garni";10306;23714;24;2069
"2002";"2. Quartal";"04";"Gasthöfe";1541;3024;14;308
"2002";"2. Quartal";"04";"Pensionen";2523;6573;33;803
"2002";"2. Quartal";"04";"Jugendherbergen";6555;14583;6;787
"2002";"2. Quartal";"04";"sonstige";523;1930;6;182
"2002";"2. Quartal";"05";"Hotels";94632;211571;65;11114
"2002";"2. Quartal";"05";"Hotels garni";15527;36086;24;2069
"2002";"2. Quartal";"05";"Gasthöfe";2334;4970;14;308
"2002";"2. Quartal";"05";"Pensionen";3298;9248;33;803
"2002";"2. Quartal";"05";"Jugendherbergen";6567;17263;6;787
"2002";"2. Quartal";"05";"sonstige";611;2355;6;182
"2002";"2. Quartal";"06";"Hotels";88284;186077;65;11114
"2002";"2. Quartal";"06";"Hotels garni";13297;30586;24;2069
"2002";"2. Quartal";"06";"Gasthöfe";1826;3981;14;308
"2002";"2. Quartal";"06";"Pensionen";2789;7753;33;802
"2002";"2. Quartal";"06";"Jugendherbergen";6873;15886;6;782
"2002";"2. Quartal";"06";"sonstige";605;2142;6;182
"2002";"3. Quartal";"07";"Hotels";76937;163541;65;11068
