"Jahr";"Stadtraum";"Eigentümer des Gebäudes";"Anteil in %"
"1998";"09 Tolkewitz, Seidnitz, Gruna";"Eigennutzung";4
"1998";"09 Tolkewitz, Seidnitz, Gruna";"Eigentümer Wohnungsgenossenschaft";46
"1998";"09 Tolkewitz, Seidnitz, Gruna";"Eigentümer Stadt";25
"1998";"09 Tolkewitz, Seidnitz, Gruna";"Eigentümer privat";24
"1998";"10 StB Leuben";"Eigennutzung";13
"1998";"10 StB Leuben";"Eigentümer Wohnungsgenossenschaft";39
"1998";"10 StB Leuben";"Eigentümer Stadt";17
"1998";"10 StB Leuben";"Eigentümer privat";32
"1998";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigennutzung";5
"1998";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigentümer Wohnungsgenossenschaft";41
"1998";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigentümer Stadt";45
"1998";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigentümer privat";9
"1998";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigennutzung";20
"1998";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigentümer Wohnungsgenossenschaft";19
"1998";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigentümer Stadt";10
"1998";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigentümer privat";51
"1998";"13 Südvorstadt, Zschertnitz";"Eigennutzung";9
"1998";"13 Südvorstadt, Zschertnitz";"Eigentümer Wohnungsgenossenschaft";38
"1998";"13 Südvorstadt, Zschertnitz";"Eigentümer Stadt";36
"1998";"13 Südvorstadt, Zschertnitz";"Eigentümer privat";17
"1998";"14 Mockritz, Coschütz, Plauen";"Eigennutzung";18
"1998";"14 Mockritz, Coschütz, Plauen";"Eigentümer Wohnungsgenossenschaft";28
"1998";"14 Mockritz, Coschütz, Plauen";"Eigentümer Stadt";10
"1998";"14 Mockritz, Coschütz, Plauen";"Eigentümer privat";44
"1998";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigennutzung";8
"1998";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigentümer Wohnungsgenossenschaft";20
"1998";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigentümer Stadt";12
"1998";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigentümer privat";61
"1998";"16 Gorbitz";"Eigennutzung";4
