"Jahr";"Stadtraum";"Zeitfenster";"Anteil Benotung ""sehr gut""";"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht""";"Anteil Benotung ""sehr schlecht""";"Anteil Benotung ""nicht beurteilt"""
"2002";"09 Tolkewitz, Seidnitz, Gruna";"vor einem Jahr";5;25;59;7;3;1
"2002";"09 Tolkewitz, Seidnitz, Gruna";"heute";4;46;39;7;5;0
"2002";"09 Tolkewitz, Seidnitz, Gruna";"in einem Jahr";2;10;46;22;5;15
"2002";"10 StB Leuben";"vor einem Jahr";3;26;56;14;1;1
"2002";"10 StB Leuben";"heute";5;44;39;10;2;1
"2002";"10 StB Leuben";"in einem Jahr";1;10;48;25;4;12
"2002";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"vor einem Jahr";3;20;55;13;6;3
"2002";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"heute";1;35;37;15;7;5
"2002";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"in einem Jahr";0;8;47;15;15;16
"2002";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"vor einem Jahr";3;18;61;12;2;3
"2002";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"heute";4;43;42;6;5;2
"2002";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"in einem Jahr";1;12;48;19;4;17
"2002";"13 Südvorstadt, Zschertnitz";"vor einem Jahr";3;27;56;8;3;2
"2002";"13 Südvorstadt, Zschertnitz";"heute";5;43;41;8;2;2
"2002";"13 Südvorstadt, Zschertnitz";"in einem Jahr";1;10;46;22;1;19
"2002";"14 Mockritz, Coschütz, Plauen";"vor einem Jahr";3;19;62;12;2;2
"2002";"14 Mockritz, Coschütz, Plauen";"heute";2;53;32;9;2;2
"2002";"14 Mockritz, Coschütz, Plauen";"in einem Jahr";4;11;44;24;5;12
"2002";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"vor einem Jahr";4;24;59;12;1;1
"2002";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"heute";3;40;47;5;3;1
"2002";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"in einem Jahr";2;11;56;15;5;11
"2002";"16 Gorbitz";"vor einem Jahr";8;25;52;11;4;1
"2002";"16 Gorbitz";"heute";2;37;37;15;6;4
"2002";"16 Gorbitz";"in einem Jahr";4;8;33;24;11;22
"2002";"17 Briesnitz und westliche OS";"vor einem Jahr";7;27;53;10;3;0
"2002";"17 Briesnitz und westliche OS";"heute";6;55;25;9;4;1
"2002";"17 Briesnitz und westliche OS";"in einem Jahr";0;12;54;18;2;14
"2002";"18 Dresden gesamt";"vor einem Jahr";4;23;56;13;3;1
"2002";"18 Dresden gesamt";"heute";4;46;37;9;4;2
"2002";"18 Dresden gesamt";"in einem Jahr";2;11;47;20;5;15
"2007";"01 StB Altstadt ohne Johannstadt";"vor einem Jahr";4;18;59;14;4;1
"2007";"01 StB Altstadt ohne Johannstadt";"heute";3;39;38;12;5;2
"2007";"01 StB Altstadt ohne Johannstadt";"in einem Jahr";3;16;41;18;9;13
"2007";"02 Johannstadt";"vor einem Jahr";3;15;56;18;4;4
"2007";"02 Johannstadt";"heute";2;41;39;10;5;4
"2007";"02 Johannstadt";"in einem Jahr";1;9;41;25;10;16
"2007";"03 StB Neustadt ohne Leipziger Vorstadt";"vor einem Jahr";3;18;51;20;6;2
"2007";"03 StB Neustadt ohne Leipziger Vorstadt";"heute";4;40;38;13;3;2
"2007";"03 StB Neustadt ohne Leipziger Vorstadt";"in einem Jahr";6;15;48;15;6;10
"2007";"04 Leipziger Vorstadt, Pieschen";"vor einem Jahr";2;20;46;24;6;2
"2007";"04 Leipziger Vorstadt, Pieschen";"heute";4;31;36;16;11;2
"2007";"04 Leipziger Vorstadt, Pieschen";"in einem Jahr";6;17;35;15;10;18
"2007";"05 Mickten, Kaditz, Trachau";"vor einem Jahr";5;18;52;19;5;0
"2007";"05 Mickten, Kaditz, Trachau";"heute";2;39;40;17;3;0
"2007";"05 Mickten, Kaditz, Trachau";"in einem Jahr";3;9;39;32;7;11
"2007";"06 StB Klotzsche und nördliche OS";"vor einem Jahr";2;22;60;11;3;3
"2007";"06 StB Klotzsche und nördliche OS";"heute";5;50;31;10;2;2
"2007";"06 StB Klotzsche und nördliche OS";"in einem Jahr";1;6;55;19;5;14
"2007";"07 StB Loschwitz und OS Schönfeld-Weißig";"vor einem Jahr";2;20;62;12;4;1
"2007";"07 StB Loschwitz und OS Schönfeld-Weißig";"heute";6;42;40;7;4;1
"2007";"07 StB Loschwitz und OS Schönfeld-Weißig";"in einem Jahr";1;8;49;24;6;12
"2007";"08 Blasewitz, Striesen";"vor einem Jahr";4;24;56;12;3;1
"2007";"08 Blasewitz, Striesen";"heute";7;47;38;7;1;0
"2007";"08 Blasewitz, Striesen";"in einem Jahr";4;12;49;23;5;8
"2007";"09 Tolkewitz, Seidnitz, Gruna";"vor einem Jahr";5;21;56;15;2;1
"2007";"09 Tolkewitz, Seidnitz, Gruna";"heute";1;42;42;9;4;2
"2007";"09 Tolkewitz, Seidnitz, Gruna";"in einem Jahr";1;11;45;27;7;9
