Statistischer Bezirk;Bodenrichtwerte (cls:L303);Bodenrichtwerte (cls:L483);Bodenrichtwertzonen 2015 - Beschriftung (cls:L580);Bodenleitwerte (cls:L295);Bodenrichtwerte (cls:L318);Bodenrichtwerte (cls:L308);Bodenrichtwerte (cls:L322);Bodenrichtwerte (cls:L311);Bodenrichtwerte (cls:L331);Bodenrichtwerte (cls:L312);Bodenrichtwerte (cls:L326);Bodenrichtwerte (cls:L335);Bodenrichtwerte (cls:L315);Bodenrichtwerte (cls:L329);Bodenrichtwerte (cls:L337);Bodenrichtwertzonen 2011 - Beschriftung (cls:L588);Bodenrichtwertzonen 2013 - Beschriftung (cls:L589);Bodenrichtwerte (cls:L298);Bodenrichtwerte (cls:L301);Bodenrichtwertzonen 2017 - Beschriftung (cls:L682);Bodenrichtwertzonen 2019 - Beschriftung (cls:L1079);Baukultur in Dresden (cls:L1090)
955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
033;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;4;4;1
853;4;8;27;2;4;6;4;8;8;6;6;10;4;8;8;36;18;2;4;18;18;0
223;2;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;2;0
452;0;2;9;0;0;0;2;0;2;0;2;2;0;2;2;6;6;0;0;6;6;0
077;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;1
823;4;4;9;2;2;4;2;4;4;2;2;2;2;4;4;10;8;2;2;8;8;0
983;4;12;27;0;4;6;4;2;6;2;4;10;4;6;12;24;18;2;2;16;16;0
247;2;2;3;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;4;4;0
752;4;18;27;2;6;4;8;6;12;6;10;14;6;12;18;20;18;4;4;18;18;0
817;4;2;9;2;2;4;2;6;2;6;2;4;4;4;2;6;6;2;2;6;6;0
331;4;2;3;0;2;4;2;2;2;2;2;2;0;2;2;2;2;2;4;2;2;0
441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
213;2;2;0;0;2;4;2;6;2;6;2;2;6;2;2;0;0;0;2;0;0;0
063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
611;2;2;3;2;2;2;2;0;2;0;2;2;0;2;2;2;2;2;2;2;2;0
545;4;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
922;2;4;12;0;0;0;0;4;0;0;0;2;0;0;2;8;8;2;2;8;8;1
992;0;6;9;0;0;0;4;0;4;0;4;4;0;4;6;8;6;0;0;6;6;0
351;0;12;18;0;0;0;8;0;8;0;8;12;0;8;12;10;12;0;0;12;12;0
966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
731;4;8;12;0;4;2;2;2;6;2;6;6;2;8;8;8;8;2;4;8;8;0
514;2;6;3;2;6;4;6;4;4;4;4;4;4;4;6;2;2;2;2;2;2;0
111;4;4;9;0;4;8;6;6;2;6;4;4;6;4;4;6;6;2;4;6;6;1
759;2;10;18;0;6;6;6;6;8;6;8;8;6;8;10;16;12;0;0;12;12;0
626;4;4;9;2;2;2;2;2;4;2;4;4;2;4;4;6;6;2;0;6;4;0
079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
846;2;2;3;2;0;4;0;4;0;2;0;2;2;0;2;2;2;2;2;2;2;0
517;0;2;3;0;2;2;2;2;2;2;2;2;4;2;2;2;2;0;0;2;2;0
473;0;4;3;0;0;0;4;0;4;0;4;4;0;4;4;2;2;0;0;2;2;1
144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
934;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0
