Statistischer Bezirk;Tankstellen (cls:L107);Reisebusparkplätze (cls:L738);Pendlerparkplätze (cls:L371);Bergbahnen (cls:L491);Bahnhöfe (cls:L490);Flughafen (cls:L489);Fähren/Anlegestellen (cls:L492);Fahrscheinautomaten (cls:L1086);DVB-Servicepunkte (cls:L1087);Mobilitätspunkte - in Betrieb (cls:L834);Mobilitätspunkte - Konzept, Planung (cls:L833)
511;0;0;0;0;0;0;0;0;0;0;1
721;2;0;0;0;0;0;0;1;0;0;0
414;0;0;0;0;0;0;0;0;0;0;0
524;0;0;0;0;0;0;0;0;0;0;1
114;0;0;0;0;0;0;0;0;0;0;0
726;0;0;0;0;0;0;0;0;0;0;0
342;2;0;0;0;0;0;0;0;0;0;0
572;0;0;0;0;0;0;0;1;0;0;0
563;2;0;0;0;0;0;0;0;0;0;0
428;0;0;0;0;0;0;0;0;0;0;0
233;4;0;0;0;0;0;0;0;0;0;0
975;0;0;0;0;0;0;0;0;0;0;0
123;2;0;0;0;0;0;0;2;0;0;1
972;0;0;0;0;0;0;0;0;0;0;1
421;0;0;0;0;0;0;0;1;0;0;1
533;0;0;0;0;0;0;0;0;0;0;0
151;0;0;0;0;0;0;0;0;0;0;0
115;2;0;0;0;0;0;0;0;0;0;0
973;0;0;0;0;0;0;0;0;0;0;0
723;0;0;0;0;0;0;0;0;0;0;0
422;0;0;0;1;0;0;0;1;0;0;0
041;2;1;0;0;1;0;0;1;0;0;1
958;6;0;0;0;0;0;0;1;0;0;0
252;4;0;0;0;1;0;0;2;0;0;0
944;0;0;0;0;0;0;0;0;0;0;0
722;0;0;0;0;0;0;0;1;0;0;0
525;0;0;0;0;0;0;0;0;0;0;1
612;0;0;0;0;0;0;0;1;0;0;0
642;0;0;0;0;0;0;0;0;0;0;0
513;0;0;0;0;0;0;0;0;0;0;0
561;4;0;0;0;1;0;0;0;0;0;1
571;0;0;0;0;0;0;0;0;0;0;0
121;0;0;0;0;0;0;0;0;0;0;0
431;0;0;0;0;0;0;1;0;0;0;1
253;0;0;0;0;0;0;0;1;0;0;0
945;2;0;0;0;0;0;0;0;0;0;0
544;0;0;0;0;0;0;0;0;0;0;0
069;0;0;0;0;0;0;0;0;0;0;0
613;0;0;0;0;0;0;0;0;0;0;0
641;0;0;0;0;0;0;0;0;0;0;0
724;0;0;1;0;0;0;0;1;0;0;1
971;4;0;0;0;0;0;0;0;0;0;0
532;0;0;0;0;0;0;0;0;0;0;0
043;0;0;0;0;1;0;0;1;0;0;0
946;0;0;0;0;0;0;0;0;0;0;0
153;0;0;0;0;0;0;0;0;0;0;0
068;2;0;0;0;0;0;0;1;0;0;0
341;2;0;0;0;0;0;0;0;0;0;0
512;2;0;0;0;0;0;0;2;0;0;1
117;0;0;0;0;0;0;0;1;0;0;1
152;8;1;0;0;1;0;0;1;0;0;1
515;0;0;0;0;0;0;1;0;0;0;0
116;0;0;0;0;0;0;0;0;0;0;1
518;0;1;0;0;0;0;0;0;0;0;0
531;0;0;0;0;0;0;0;0;0;0;1
042;2;0;0;0;0;0;0;0;0;0;1
427;2;0;0;0;0;0;0;0;0;0;0
631;0;0;0;0;0;0;0;1;0;0;0
234;0;0;0;0;0;0;0;1;0;0;0
025;0;1;0;0;0;0;0;0;0;0;0
434;0;0;0;0;0;0;0;0;0;0;0
977;0;0;0;0;0;0;0;0;0;0;0
011;10;1;0;0;0;0;1;5;1;1;0
426;0;0;0;0;0;0;0;1;0;0;1
045;0;0;0;0;0;0;0;0;0;0;0
632;0;0;0;0;0;0;0;1;0;0;1
