Statistischer Bezirk;Kirchen, Religiöse Einrichtungen (cls:L121);Ausstellungen, Galerien (cls:L496);Veranstaltungsorte (cls:L498);Theater, Musik, Tanz (cls:L499);Studentenclubs (cls:L493);Museen (cls:L497);Kulturelle Bildung, Soziokultur (cls:L500);Kinos (cls:L495);Bibliotheken (cls:L494)
572;0;0;0;0;0;0;0;0;0
563;0;0;0;0;0;0;0;0;0
428;0;0;0;0;0;0;0;0;0
233;3;0;0;0;0;0;0;0;0
975;0;0;0;0;0;0;0;0;0
123;0;2;0;2;0;2;2;0;0
972;0;0;0;0;0;0;0;0;0
421;6;4;0;0;0;0;0;0;0
533;0;0;0;0;0;0;0;0;0
151;0;0;0;0;0;0;0;0;0
115;0;8;0;4;0;0;2;2;0
973;0;0;0;0;0;0;0;0;0
723;0;0;0;0;0;0;0;0;0
422;0;0;0;0;0;0;0;0;0
041;0;10;4;8;0;2;4;0;4
958;0;0;0;0;0;0;0;0;0
252;3;0;0;0;0;2;6;0;0
944;0;0;0;0;0;0;0;0;0
722;0;0;0;0;0;0;0;0;0
525;6;0;0;0;0;0;0;0;0
612;0;0;0;0;0;0;0;0;0
642;0;0;0;0;0;0;0;0;2
513;0;0;0;0;0;0;0;0;0
561;0;0;0;0;0;2;0;0;0
571;0;0;0;0;0;0;0;0;0
121;3;2;0;0;0;2;0;0;0
431;0;0;0;0;0;0;2;0;0
253;0;0;0;0;0;0;0;0;0
945;0;0;0;0;0;0;0;0;0
544;0;0;0;0;0;0;0;0;0
069;0;0;0;0;0;0;0;0;0
613;0;0;0;0;0;0;0;0;0
641;3;0;0;0;0;0;0;0;0
724;0;0;0;0;0;0;0;0;0
971;0;0;0;0;0;0;0;0;2
532;0;0;0;0;2;0;0;0;0
043;3;0;0;4;0;0;0;0;0
946;3;0;0;0;0;0;0;0;0
153;0;4;0;0;0;2;0;0;0
068;9;2;0;0;0;0;0;0;0
341;0;2;0;0;0;0;0;0;0
512;3;2;0;2;0;0;2;2;0
117;0;4;0;0;0;0;0;0;0
152;6;8;2;2;0;2;2;0;0
515;0;0;2;0;0;0;0;0;0
116;3;8;0;6;0;2;6;0;0
518;0;0;0;0;0;0;0;0;0
531;0;0;0;0;0;0;0;0;0
042;0;2;0;4;0;4;0;0;0
427;3;0;0;0;0;0;0;0;0
