"Jahr";"Stadtraum";"Heizungsart";"Anteil in %"
"2002";"08 Blasewitz, Striesen";"Zentralheizung oder Etagenheizung";45
"2002";"08 Blasewitz, Striesen";"Einzelraumheizung";2
"2002";"09 Tolkewitz, Seidnitz, Gruna";"Fernheizung";76
"2002";"09 Tolkewitz, Seidnitz, Gruna";"Zentralheizung oder Etagenheizung";23
"2002";"09 Tolkewitz, Seidnitz, Gruna";"Einzelraumheizung";1
"2002";"10 StB Leuben";"Fernheizung";46
"2002";"10 StB Leuben";"Zentralheizung oder Etagenheizung";51
"2002";"10 StB Leuben";"Einzelraumheizung";3
"2002";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Fernheizung";81
"2002";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";19
"2002";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";0
"2002";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Fernheizung";38
"2002";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";57
"2002";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";5
"2002";"13 Südvorstadt, Zschertnitz";"Fernheizung";76
"2002";"13 Südvorstadt, Zschertnitz";"Zentralheizung oder Etagenheizung";23
"2002";"13 Südvorstadt, Zschertnitz";"Einzelraumheizung";1
"2002";"14 Mockritz, Coschütz, Plauen";"Fernheizung";38
"2002";"14 Mockritz, Coschütz, Plauen";"Zentralheizung oder Etagenheizung";57
"2002";"14 Mockritz, Coschütz, Plauen";"Einzelraumheizung";6
"2002";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Fernheizung";17
"2002";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Zentralheizung oder Etagenheizung";77
"2002";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Einzelraumheizung";7
"2002";"16 Gorbitz";"Fernheizung";76
"2002";"16 Gorbitz";"Zentralheizung oder Etagenheizung";24
"2002";"16 Gorbitz";"Einzelraumheizung";0
"2002";"17 Briesnitz und westliche OS";"Fernheizung";5
"2002";"17 Briesnitz und westliche OS";"Zentralheizung oder Etagenheizung";85
"2002";"17 Briesnitz und westliche OS";"Einzelraumheizung";10
"2002";"18 Dresden gesamt";"Fernheizung";49
"2002";"18 Dresden gesamt";"Zentralheizung oder Etagenheizung";48
"2002";"18 Dresden gesamt";"Einzelraumheizung";3
"2005";"01 StB Altstadt ohne Johannstadt";"Fernheizung";89
"2005";"01 StB Altstadt ohne Johannstadt";"Zentralheizung oder Etagenheizung";11
"2005";"01 StB Altstadt ohne Johannstadt";"Einzelraumheizung";1
"2005";"02 Johannstadt";"Fernheizung";86
"2005";"02 Johannstadt";"Zentralheizung oder Etagenheizung";13
"2005";"02 Johannstadt";"Einzelraumheizung";1
"2005";"03 StB Neustadt ohne Leipziger Vorstadt";"Fernheizung";49
"2005";"03 StB Neustadt ohne Leipziger Vorstadt";"Zentralheizung oder Etagenheizung";47
"2005";"03 StB Neustadt ohne Leipziger Vorstadt";"Einzelraumheizung";4
"2005";"04 Leipziger Vorstadt, Pieschen";"Fernheizung";19
"2005";"04 Leipziger Vorstadt, Pieschen";"Zentralheizung oder Etagenheizung";73
"2005";"04 Leipziger Vorstadt, Pieschen";"Einzelraumheizung";8
"2005";"05 Mickten, Kaditz, Trachau";"Fernheizung";30
"2005";"05 Mickten, Kaditz, Trachau";"Zentralheizung oder Etagenheizung";68
"2005";"05 Mickten, Kaditz, Trachau";"Einzelraumheizung";1
"2005";"06 StB Klotzsche und nördliche OS";"Fernheizung";24
"2005";"06 StB Klotzsche und nördliche OS";"Zentralheizung oder Etagenheizung";72
"2005";"06 StB Klotzsche und nördliche OS";"Einzelraumheizung";4
"2005";"07 StB Loschwitz und OS Schönfeld-Weißig";"Fernheizung";8
"2005";"07 StB Loschwitz und OS Schönfeld-Weißig";"Zentralheizung oder Etagenheizung";86
"2005";"07 StB Loschwitz und OS Schönfeld-Weißig";"Einzelraumheizung";6
"2005";"08 Blasewitz, Striesen";"Fernheizung";55
"2005";"08 Blasewitz, Striesen";"Zentralheizung oder Etagenheizung";45
"2005";"08 Blasewitz, Striesen";"Einzelraumheizung";0
"2005";"09 Tolkewitz, Seidnitz, Gruna";"Fernheizung";72
"2005";"09 Tolkewitz, Seidnitz, Gruna";"Zentralheizung oder Etagenheizung";28
"2005";"09 Tolkewitz, Seidnitz, Gruna";"Einzelraumheizung";1
"2005";"10 StB Leuben";"Fernheizung";46
"2005";"10 StB Leuben";"Zentralheizung oder Etagenheizung";54
"2005";"10 StB Leuben";"Einzelraumheizung";0
