"Statistischer Bezirk";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"Bautätigkeit - Art";"Fertigstellungsjahr";"Gebäudeart";"Anzahl Gebäude";"Wohnungen gesamt"
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2003";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2004";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2005";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2007";"Mehrfamilienhaus";5;432
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2008";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2009";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2014";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"unbekannt";"Mehrfamilienhaus";10;286
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"unbekannt";"Nichtwohngebäude ohne Wohnungen";1;0
"023  Pirnaische Vs.(Blochmannstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2017";"Nichtwohngebäude ohne Wohnungen";1;0
"023  Pirnaische Vs.(Blochmannstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2003";"Mehrfamilienhaus";6;259
"023  Pirnaische Vs.(Blochmannstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2004";"Mehrfamilienhaus";4;204
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"1998";"Nichtwohngebäude ohne Wohnungen";1;0
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2001";"Mehrfamilienhaus";3;45
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2002";"Mehrfamilienhaus";6;75
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2003";"Mehrfamilienhaus";21;270
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2003";"Nichtwohngebäude ohne Wohnungen";3;0
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2004";"Mehrfamilienhaus";17;185
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2013";"Nichtwohngebäude ohne Wohnungen";1;0
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2017";"Nichtwohngebäude ohne Wohnungen";2;0
"025  Pirnaische Vs.(Steinstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2010";"Nichtwohngebäude ohne Wohnungen";1;0
"025  Pirnaische Vs.(Steinstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2011";"Nichtwohngebäude ohne Wohnungen";1;0
"025  Pirnaische Vs.(Steinstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2016";"Nichtwohngebäude ohne Wohnungen";1;0
"025  Pirnaische Vs.(Steinstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2018";"Nichtwohngebäude ohne Wohnungen";1;0
"025  Pirnaische Vs.(Steinstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"1999";"Nichtwohngebäude ohne Wohnungen";1;0
"025  Pirnaische Vs.(Steinstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2003";"Mehrfamilienhaus";23;230
"025  Pirnaische Vs.(Steinstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2004";"Mehrfamilienhaus";5;50
"025  Pirnaische Vs.(Steinstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2011";"Nichtwohngebäude ohne Wohnungen";1;0
"031  Seevs.-Ost(Prager Str)";"03 Seevorstadt-Ost";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"1994";"Nichtwohngebäude ohne Wohnungen";1;0
"031  Seevs.-Ost(Prager Str)";"03 Seevorstadt-Ost";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"1995";"Nichtwohngebäude ohne Wohnungen";1;0
"031  Seevs.-Ost(Prager Str)";"03 Seevorstadt-Ost";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"1996";"Nichtwohngebäude mit Wohnungen";2;22
"031  Seevs.-Ost(Prager Str)";"03 Seevorstadt-Ost";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"1997";"Mehrfamilienhaus";3;45
