"Statistischer Bezirk";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"Bautätigkeit - Art";"Fertigstellungsjahr";"Gebäudeart";"Anzahl Gebäude";"Wohnungen gesamt"
"021  Pirnaische Vs.(Grunaer-Süd)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"1994";"Nichtwohngebäude ohne Wohnungen";1;0
"021  Pirnaische Vs.(Grunaer-Süd)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2001";"Nichtwohngebäude ohne Wohnungen";1;0
"021  Pirnaische Vs.(Grunaer-Süd)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2005";"Nichtwohngebäude mit Wohnungen";1;1
"021  Pirnaische Vs.(Grunaer-Süd)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2010";"Nichtwohngebäude ohne Wohnungen";1;0
"021  Pirnaische Vs.(Grunaer-Süd)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2011";"Nichtwohngebäude ohne Wohnungen";1;0
"021  Pirnaische Vs.(Grunaer-Süd)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"unbekannt";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2013";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2014";"Nichtwohngebäude ohne Wohnungen";3;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"1993";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2000";"Mehrfamilienhaus";8;95
