"Jahr";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"AltK_13IRB-2-5-9-14-17-24-29-44-59-64-74-84-";"Anzahl Einwohner"
"";"05 Friedrichstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"65 - 74 Jahre";387
"";"05 Friedrichstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"75 - 84 Jahre";427
"";"05 Friedrichstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"85 Jahre u.älter";300
"";"06 Johannstadt-Nord";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"00 - 02 Jahre";457
"";"06 Johannstadt-Nord";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"03 - 05 Jahre";417
"";"06 Johannstadt-Nord";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"06 - 09 Jahre";505
"";"06 Johannstadt-Nord";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"10 - 14 Jahre";514
"";"06 Johannstadt-Nord";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"15 - 17 Jahre";238
"";"06 Johannstadt-Nord";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"18 - 24 Jahre";950
"";"06 Johannstadt-Nord";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"25 - 29 Jahre";1036
"";"06 Johannstadt-Nord";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"30 - 44 Jahre";2752
"";"06 Johannstadt-Nord";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"45 - 59 Jahre";1649
"";"06 Johannstadt-Nord";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"60 - 64 Jahre";473
"";"06 Johannstadt-Nord";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"65 - 74 Jahre";1213
"";"06 Johannstadt-Nord";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"75 - 84 Jahre";1617
"";"06 Johannstadt-Nord";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"85 Jahre u.älter";668
