Jahr,Stadtraum,Lärm durch Straßenverkehr,Lärm durch Eisenbahnverkehr,Lärm durch Flugverkehr,Lärm von Baustellen,Lärm von Gewerbe/Industrie,Lärm durch Anwohner
2007,10 StB Leuben,2,2,1,1,1,2
2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2,2,1,2,1,2
2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",3,2,1,2,1,2
2007,"13 Südvorstadt, Zschertnitz",3,2,1,2,1,2
2007,"14 Mockritz, Coschütz, Plauen",3,1,1,2,1,2
2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3,1,2,2,1,2
2007,16 Gorbitz,2,1,2,2,1,3
2007,17 Briesnitz und westliche OS,3,2,3,2,1,2
2007,18 Dresden gesamt,3,2,2,2,1,2
2010,01 StB Altstadt ohne Johannstadt,3,2,1,2,1,3
2010,02 Johannstadt,3,1,2,1,1,2
2010,03 StB Neustadt ohne Leipziger Vorstadt,3,1,1,2,2,3
2010,"04 Leipziger Vorstadt, Pieschen",3,2,2,2,1,3
2010,"05 Mickten, Kaditz, Trachau",3,1,3,2,1,2
2010,06 StB Klotzsche und nördliche OS,2,1,3,1,1,2
2010,07 StB Loschwitz und OS Schönfeld-Weißig,2,1,1,2,1,2
2010,"08 Blasewitz, Striesen",3,1,1,2,1,2
2010,"09 Tolkewitz, Seidnitz, Gruna",3,1,1,1,1,2
2010,10 StB Leuben,2,2,1,2,1,2
2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2,2,1,1,1,3
2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",3,2,1,2,1,2
2010,"13 Südvorstadt, Zschertnitz",3,2,1,2,1,3
2010,"14 Mockritz, Coschütz, Plauen",3,1,1,2,1,2
2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3,1,2,2,1,2
2010,16 Gorbitz,3,1,2,2,1,3
2010,17 Briesnitz und westliche OS,3,2,3,1,1,2
2010,18 Dresden gesamt,3,1,2,2,1,2
2012,01 StB Altstadt ohne Johannstadt,3,2,1,2,2,2
2012,02 Johannstadt,3,1,1,2,1,2
2012,03 StB Neustadt ohne Leipziger Vorstadt,3,1,1,2,2,3
2012,"04 Leipziger Vorstadt, Pieschen",3,2,2,2,1,3
2012,"05 Mickten, Kaditz, Trachau",3,2,4,2,1,2
2012,06 StB Klotzsche und nördliche OS,3,2,3,1,1,2
2012,07 StB Loschwitz und OS Schönfeld-Weißig,2,1,1,2,1,2
2012,"08 Blasewitz, Striesen",3,1,1,2,1,2
2012,"09 Tolkewitz, Seidnitz, Gruna",3,2,1,2,1,2
2012,10 StB Leuben,2,2,1,2,1,2
2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2,2,1,2,2,3
2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",3,2,1,2,1,2
2012,"13 Südvorstadt, Zschertnitz",3,2,1,2,1,3
2012,"14 Mockritz, Coschütz, Plauen",3,1,1,2,1,2
2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3,1,2,2,1,3
2012,16 Gorbitz,2,1,2,2,1,3
2012,17 Briesnitz und westliche OS,3,2,3,1,1,2
2012,18 Dresden gesamt,3,2,2,2,1,2
2016,01 StB Altstadt ohne Johannstadt,3,2,1,2,2,2
2016,02 Johannstadt,3,1,1,2,1,3
2016,03 StB Neustadt ohne Leipziger Vorstadt,3,1,1,2,2,3
2016,"04 Leipziger Vorstadt, Pieschen",3,2,2,2,1,3
2016,"05 Mickten, Kaditz, Trachau",3,2,4,2,1,2
2016,06 StB Klotzsche und nördliche OS,3,2,3,2,1,2
2016,07 StB Loschwitz und OS Schönfeld-Weißig,3,1,2,2,1,2
2016,"08 Blasewitz, Striesen",3,1,1,2,1,2
2016,"09 Tolkewitz, Seidnitz, Gruna",3,2,1,2,1,2
2016,10 StB Leuben,2,2,1,2,1,2
2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2,2,1,2,2,3
2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",3,2,1,2,1,2
2016,"13 Südvorstadt, Zschertnitz",3,2,1,2,1,2
2016,"14 Mockritz, Coschütz, Plauen",3,1,1,2,1,2
2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3,1,2,2,1,2
2016,16 Gorbitz,2,1,2,2,1,3
2016,17 Briesnitz und westliche OS,3,2,3,2,1,2
2016,18 Dresden gesamt,3,2,2,2,1,2
2018,01 StB Altstadt ohne Johannstadt,3,2,1,2,1,2
2018,02 Johannstadt,3,1,2,2,1,2
2018,03 StB Neustadt ohne Leipziger Vorstadt,3,1,1,2,1,3
2018,"04 Leipziger Vorstadt, Pieschen",3,2,2,2,2,3
2018,"05 Mickten, Kaditz, Trachau",3,2,3,2,2,2
2018,06 StB Klotzsche und nördliche OS,2,2,3,2,1,2
2018,07 StB Loschwitz und OS Schönfeld-Weißig,2,1,1,1,1,2
2018,"08 Blasewitz, Striesen",3,1,1,2,1,2
2018,"09 Tolkewitz, Seidnitz, Gruna",3,2,1,2,1,2
2018,10 StB Leuben,2,2,1,2,1,2
2018,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2,2,1,2,1,3
2018,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",3,2,1,2,1,2
2018,"13 Südvorstadt, Zschertnitz",3,2,1,2,1,2
2018,"14 Mockritz, Coschütz, Plauen",3,1,1,2,1,2
2018,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3,1,2,2,1,3
2018,16 Gorbitz,2,1,3,2,1,3
2018,17 Briesnitz und westliche OS,3,2,3,2,1,2
2018,18 Dresden gesamt,3,2,2,2,1,2
