Jahr,Stadtraum,Fälle erfasst,Fälle aufgeklärt,Tatverdächtige insgesamt
2011,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2624,1402,1215
2011,"13 Südvorstadt, Zschertnitz",5424,3816,3596
2011,"14 Mockritz, Coschütz, Plauen",1372,487,444
2011,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3252,1575,1368
2011,16 Gorbitz,1594,918,728
2011,17 Briesnitz und westliche OS,891,384,357
2012,01 StB Altstadt ohne Johannstadt,9532,4940,4457
2012,02 Johannstadt,1961,951,636
2012,03 StB Neustadt ohne Leipziger Vorstadt,5779,2580,2271
2012,"04 Leipziger Vorstadt, Pieschen",3963,1770,1462
2012,"05 Mickten, Kaditz, Trachau",2666,1277,1138
2012,06 StB Klotzsche und nördliche OS,1593,702,650
2012,07 StB Loschwitz und OS Schönfeld-Weißig,1118,520,445
2012,"08 Blasewitz, Striesen",2365,991,882
2012,"09 Tolkewitz, Seidnitz, Gruna",2052,1098,912
2012,10 StB Leuben,1926,887,749
2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2552,1482,1200
2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2704,1493,1319
2012,"13 Südvorstadt, Zschertnitz",5124,3481,3303
2012,"14 Mockritz, Coschütz, Plauen",1426,604,516
2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3517,1738,1451
2012,16 Gorbitz,1576,887,766
2012,17 Briesnitz und westliche OS,1092,507,421
2013,01 StB Altstadt ohne Johannstadt,10290,5006,4423
2013,02 Johannstadt,2150,1102,597
2013,03 StB Neustadt ohne Leipziger Vorstadt,6466,3007,2594
2013,"04 Leipziger Vorstadt, Pieschen",4304,1704,1456
2013,"05 Mickten, Kaditz, Trachau",2899,1356,1194
2013,06 StB Klotzsche und nördliche OS,1593,705,615
2013,07 StB Loschwitz und OS Schönfeld-Weißig,1196,526,462
2013,"08 Blasewitz, Striesen",2565,1074,920
2013,"09 Tolkewitz, Seidnitz, Gruna",1915,910,804
2013,10 StB Leuben,2248,1043,907
2013,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2740,1392,1183
2013,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2798,1479,1236
2013,"13 Südvorstadt, Zschertnitz",6320,4237,4055
2013,"14 Mockritz, Coschütz, Plauen",1458,516,471
2013,"15 Cotta, Löbtau, Naußlitz, Dölzschen",4431,1661,1394
2013,16 Gorbitz,2062,1244,812
2013,17 Briesnitz und westliche OS,1103,435,382
2014,01 StB Altstadt ohne Johannstadt,11941,6075,5029
2014,02 Johannstadt,1986,810,711
2014,03 StB Neustadt ohne Leipziger Vorstadt,6554,2991,2506
2014,"04 Leipziger Vorstadt, Pieschen",4275,1715,1409
2014,"05 Mickten, Kaditz, Trachau",3108,1441,1290
2014,06 StB Klotzsche und nördliche OS,1505,695,621
2014,07 StB Loschwitz und OS Schönfeld-Weißig,1277,526,569
2014,"08 Blasewitz, Striesen",3028,1438,1249
2014,"09 Tolkewitz, Seidnitz, Gruna",2013,910,807
2014,10 StB Leuben,2263,1033,879
2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2694,1617,1260
2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",3065,1799,1353
2014,"13 Südvorstadt, Zschertnitz",5028,3337,2790
2014,"14 Mockritz, Coschütz, Plauen",1420,465,522
2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3907,1647,1313
2014,16 Gorbitz,1765,905,799
2014,17 Briesnitz und westliche OS,1168,440,410
2015,01 StB Altstadt ohne Johannstadt,12186,6661,5517
2015,02 Johannstadt,1796,799,710
2015,03 StB Neustadt ohne Leipziger Vorstadt,6653,2975,2473
2015,"04 Leipziger Vorstadt, Pieschen",4339,1801,1476
2015,"05 Mickten, Kaditz, Trachau",2564,1225,1145
2015,06 StB Klotzsche und nördliche OS,1246,539,491
2015,07 StB Loschwitz und OS Schönfeld-Weißig,1118,520,483
2015,"08 Blasewitz, Striesen",2638,1314,1190
2015,"09 Tolkewitz, Seidnitz, Gruna",2000,909,783
2015,10 StB Leuben,1956,935,789
2015,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2565,1526,1271
2015,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2442,1335,1145
2015,"13 Südvorstadt, Zschertnitz",3253,1948,1815
2015,"14 Mockritz, Coschütz, Plauen",1157,509,446
