,Jahr,Stadtraum,Heizenergie,Anteil in %
199,1996,"04 Leipziger Vorstadt, Pieschen",sonstige,0
200,1996,"05 Mickten, Kaditz, Trachau",Kohle,46
201,1996,"05 Mickten, Kaditz, Trachau",Gas,"41,4"
202,1996,"05 Mickten, Kaditz, Trachau",Öl,"8,2"
203,1996,"05 Mickten, Kaditz, Trachau",Strom,"3,1"
204,1996,"05 Mickten, Kaditz, Trachau",sonstige,"1,3"
205,1996,06 StB Klotzsche und nördliche OS,Kohle,"19,8"
206,1996,06 StB Klotzsche und nördliche OS,Gas,"53,7"
207,1996,06 StB Klotzsche und nördliche OS,Öl,"22,5"
208,1996,06 StB Klotzsche und nördliche OS,Strom,"4,1"
209,1996,06 StB Klotzsche und nördliche OS,sonstige,0
210,1996,07 StB Loschwitz und OS Schönfeld-Weißig,Kohle,"33,5"
211,1996,07 StB Loschwitz und OS Schönfeld-Weißig,Gas,"53,7"
212,1996,07 StB Loschwitz und OS Schönfeld-Weißig,Öl,"10,4"
213,1996,07 StB Loschwitz und OS Schönfeld-Weißig,Strom,"2,4"
214,1996,07 StB Loschwitz und OS Schönfeld-Weißig,sonstige,0
215,1996,"08 Blasewitz, Striesen",Kohle,48
216,1996,"08 Blasewitz, Striesen",Gas,"42,9"
217,1996,"08 Blasewitz, Striesen",Öl,"4,9"
218,1996,"08 Blasewitz, Striesen",Strom,"4,2"
219,1996,"08 Blasewitz, Striesen",sonstige,0
220,1996,"09 Tolkewitz, Seidnitz, Gruna",Kohle,"54,2"
221,1996,"09 Tolkewitz, Seidnitz, Gruna",Gas,"39,2"
222,1996,"09 Tolkewitz, Seidnitz, Gruna",Öl,"2,2"
223,1996,"09 Tolkewitz, Seidnitz, Gruna",Strom,"4,4"
224,1996,"09 Tolkewitz, Seidnitz, Gruna",sonstige,0
225,1996,10 StB Leuben,Kohle,"32,7"
226,1996,10 StB Leuben,Gas,"55,5"
227,1996,10 StB Leuben,Öl,"10,3"
228,1996,10 StB Leuben,Strom,1
229,1996,10 StB Leuben,sonstige,"0,4"
230,1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Kohle,"25,3"
231,1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Gas,"60,4"
232,1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Öl,"6,3"
233,1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Strom,"8,1"
234,1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",sonstige,0
