,Jahr,Stadtraum,Eigentümer des Gebäudes,Anteil in %
295,2002,02 Johannstadt,Eigentümer privat,16
296,2002,03 StB Neustadt ohne Leipziger Vorstadt,Eigennutzung,3
297,2002,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Wohnungsgenossenschaft,11
298,2002,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Stadt,10
299,2002,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer privat,77
300,2002,"04 Leipziger Vorstadt, Pieschen",Eigennutzung,7
301,2002,"04 Leipziger Vorstadt, Pieschen",Eigentümer Wohnungsgenossenschaft,14
302,2002,"04 Leipziger Vorstadt, Pieschen",Eigentümer Stadt,9
303,2002,"04 Leipziger Vorstadt, Pieschen",Eigentümer privat,70
304,2002,"05 Mickten, Kaditz, Trachau",Eigennutzung,12
305,2002,"05 Mickten, Kaditz, Trachau",Eigentümer Wohnungsgenossenschaft,30
306,2002,"05 Mickten, Kaditz, Trachau",Eigentümer Stadt,5
307,2002,"05 Mickten, Kaditz, Trachau",Eigentümer privat,54
308,2002,06 StB Klotzsche und nördliche OS,Eigennutzung,43
309,2002,06 StB Klotzsche und nördliche OS,Eigentümer Wohnungsgenossenschaft,16
310,2002,06 StB Klotzsche und nördliche OS,Eigentümer Stadt,6
311,2002,06 StB Klotzsche und nördliche OS,Eigentümer privat,36
312,2002,07 StB Loschwitz und OS Schönfeld-Weißig,Eigennutzung,43
313,2002,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Wohnungsgenossenschaft,5
314,2002,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Stadt,2
315,2002,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer privat,51
316,2002,"08 Blasewitz, Striesen",Eigennutzung,7
317,2002,"08 Blasewitz, Striesen",Eigentümer Wohnungsgenossenschaft,22
318,2002,"08 Blasewitz, Striesen",Eigentümer Stadt,10
319,2002,"08 Blasewitz, Striesen",Eigentümer privat,62
320,2002,"09 Tolkewitz, Seidnitz, Gruna",Eigennutzung,6
321,2002,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Wohnungsgenossenschaft,43
322,2002,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Stadt,19
323,2002,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer privat,33
324,2002,10 StB Leuben,Eigennutzung,17
325,2002,10 StB Leuben,Eigentümer Wohnungsgenossenschaft,29
326,2002,10 StB Leuben,Eigentümer Stadt,17
327,2002,10 StB Leuben,Eigentümer privat,37
328,2002,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigennutzung,4
329,2002,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,19
330,2002,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,57
331,2002,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer privat,20
332,2002,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigennutzung,27
333,2002,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,18
334,2002,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,14
335,2002,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer privat,40
336,2002,"13 Südvorstadt, Zschertnitz",Eigennutzung,6
337,2002,"13 Südvorstadt, Zschertnitz",Eigentümer Wohnungsgenossenschaft,38
338,2002,"13 Südvorstadt, Zschertnitz",Eigentümer Stadt,41
339,2002,"13 Südvorstadt, Zschertnitz",Eigentümer privat,15
340,2002,"14 Mockritz, Coschütz, Plauen",Eigennutzung,23
341,2002,"14 Mockritz, Coschütz, Plauen",Eigentümer Wohnungsgenossenschaft,24
342,2002,"14 Mockritz, Coschütz, Plauen",Eigentümer Stadt,10
343,2002,"14 Mockritz, Coschütz, Plauen",Eigentümer privat,43
344,2002,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigennutzung,14
345,2002,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Wohnungsgenossenschaft,14
346,2002,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Stadt,11
347,2002,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer privat,61
348,2002,16 Gorbitz,Eigennutzung,6
349,2002,16 Gorbitz,Eigentümer Wohnungsgenossenschaft,44
350,2002,16 Gorbitz,Eigentümer Stadt,38
351,2002,16 Gorbitz,Eigentümer privat,11
352,2002,17 Briesnitz und westliche OS,Eigennutzung,35
353,2002,17 Briesnitz und westliche OS,Eigentümer Wohnungsgenossenschaft,8
354,2002,17 Briesnitz und westliche OS,Eigentümer Stadt,4
355,2002,17 Briesnitz und westliche OS,Eigentümer privat,53
356,2002,18 Dresden gesamt,Eigennutzung,14
357,2002,18 Dresden gesamt,Eigentümer Wohnungsgenossenschaft,25
358,2002,18 Dresden gesamt,Eigentümer Stadt,19
359,2002,18 Dresden gesamt,Eigentümer privat,42
360,2005,01 StB Altstadt ohne Johannstadt,Eigennutzung,0
361,2005,01 StB Altstadt ohne Johannstadt,Eigentümer Wohnungsgenossenschaft,45
362,2005,01 StB Altstadt ohne Johannstadt,Eigentümer Stadt,40
363,2005,01 StB Altstadt ohne Johannstadt,Eigentümer privat,15
364,2005,02 Johannstadt,Eigennutzung,1
365,2005,02 Johannstadt,Eigentümer Wohnungsgenossenschaft,47
366,2005,02 Johannstadt,Eigentümer Stadt,33
367,2005,02 Johannstadt,Eigentümer privat,19
368,2005,03 StB Neustadt ohne Leipziger Vorstadt,Eigennutzung,7
369,2005,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Wohnungsgenossenschaft,8
370,2005,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Stadt,21
371,2005,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer privat,64
372,2005,"04 Leipziger Vorstadt, Pieschen",Eigennutzung,6
373,2005,"04 Leipziger Vorstadt, Pieschen",Eigentümer Wohnungsgenossenschaft,18
374,2005,"04 Leipziger Vorstadt, Pieschen",Eigentümer Stadt,7
375,2005,"04 Leipziger Vorstadt, Pieschen",Eigentümer privat,70
376,2005,"05 Mickten, Kaditz, Trachau",Eigennutzung,10
377,2005,"05 Mickten, Kaditz, Trachau",Eigentümer Wohnungsgenossenschaft,34
