"Jahr";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtraum";"Wohnungen gesamt";"Wohnungen mit 1Raum";"Wohnungen mit 2 Räumen";"Wohnungen mit 3 Räumen";"Wohnungen mit 4 Räumen";"Wohnungen mit 5 Räumen";"Wohnungen mit 6 Räumen";"Wohnungen mit 7 u.mehr Räumen";"Gebäudeanzahl"
"2001";"43 Hosterwitz/Pillnitz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";1614;55;442;497;312;170;94;44;860
"2001";"45 Weißig";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";2905;370;1050;708;345;261;95;76;1063
"2001";"46 Gönnsdorf/Pappritz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";1549;85;279;376;329;281;104;95;981
"2001";"47 Schönfeld/Schullwitz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";1427;53;238;376;354;247;100;59;948
"2001";"51 Blasewitz";"StB 5 Blasewitz";"08 Blasewitz, Striesen";5096;421;1678;1624;858;345;101;69;1086
"2001";"52 Striesen-Ost";"StB 5 Blasewitz";"08 Blasewitz, Striesen";6824;416;2729;2302;995;272;84;26;756
"2001";"53 Striesen-Süd";"StB 5 Blasewitz";"08 Blasewitz, Striesen";5783;519;2308;2153;646;117;22;18;532
"2001";"54 Striesen-West";"StB 5 Blasewitz";"08 Blasewitz, Striesen";6582;422;2633;2828;522;127;31;19;633
"2001";"55 Tolkewitz/Seidnitz-Nord";"StB 5 Blasewitz";"09 Tolkewitz, Seidnitz, Gruna";6705;421;1971;3436;720;129;18;10;828
"2001";"56 Seidnitz/Dobritz";"StB 5 Blasewitz";"09 Tolkewitz, Seidnitz, Gruna";7784;993;2992;2883;773;116;22;5;971
"2001";"57 Gruna";"StB 5 Blasewitz";"09 Tolkewitz, Seidnitz, Gruna";7136;676;1848;3302;1037;212;35;26;1072
"2001";"61 Leuben";"StB 6 Leuben";"10 StB Leuben";7293;380;3068;2957;697;143;7;41;946
"2001";"62 Laubegast";"StB 6 Leuben";"10 StB Leuben";6652;615;2610;2594;600;178;40;15;1169
"2001";"63 Kleinzschachwitz";"StB 6 Leuben";"10 StB Leuben";4198;237;1122;1387;848;389;134;81;1812
"2001";"64 Großzschachwitz";"StB 6 Leuben";"10 StB Leuben";3735;721;911;1406;533;145;15;4;526
"2001";"71 Prohlis-Nord";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";4073;698;1093;1716;484;75;5;2;318
"2001";"72 Prohlis-Süd";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";5349;1419;1412;1741;634;131;12;0;256
"2001";"73 Niedersedlitz";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";4294;381;1320;1617;715;154;73;34;1061
"2001";"74 Lockwitz";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";2605;93;718;843;534;247;123;47;1331
"2001";"75 Leubnitz-Neuostra";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";7546;756;1880;2809;1466;438;116;81;2099
"2001";"76 Strehlen";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";3333;989;590;1129;624;0;0;1;227
"2001";"76 Strehlen";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";3147;180;834;1241;581;242;40;29;759
"2001";"77 Reick";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";3196;237;1153;1263;428;103;11;1;523
"2001";"81 Südvorstadt-West";"StB 8 Plauen";"13 Südvorstadt, Zschertnitz";5940;428;1678;2688;958;147;28;13;561
"2001";"82 Südvorstadt-Ost";"StB 8 Plauen";"13 Südvorstadt, Zschertnitz";2860;729;808;966;239;74;24;20;321
