,Jahr,Stadtraum,Anteil Wohnungen mit Bad,Anteil Wohnungen mit IWC,Anteil Wohnungen mit Balkon o.ä.
142,2010,17 Briesnitz und westliche OS,99,99,81
143,2010,18 Dresden gesamt,99,99,78
144,2012,01 StB Altstadt ohne Johannstadt,99,100,76
145,2012,02 Johannstadt,100,99,88
146,2012,03 StB Neustadt ohne Leipziger Vorstadt,98,99,65
147,2012,"04 Leipziger Vorstadt, Pieschen",100,100,49
148,2012,"05 Mickten, Kaditz, Trachau",100,99,65
149,2012,06 StB Klotzsche und nördliche OS,99,100,80
150,2012,07 StB Loschwitz und OS Schönfeld-Weißig,99,97,78
151,2012,"08 Blasewitz, Striesen",98,100,81
152,2012,"09 Tolkewitz, Seidnitz, Gruna",100,100,88
153,2012,10 StB Leuben,100,100,89
154,2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",100,100,82
155,2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",98,97,79
156,2012,"13 Südvorstadt, Zschertnitz",100,99,72
157,2012,"14 Mockritz, Coschütz, Plauen",99,99,79
158,2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",100,99,53
159,2012,16 Gorbitz,99,97,88
160,2012,17 Briesnitz und westliche OS,100,100,73
161,2012,18 Dresden gesamt,99,99,75
162,2014,01 StB Altstadt ohne Johannstadt,100,98,67
163,2014,02 Johannstadt,100,100,84
164,2014,03 StB Neustadt ohne Leipziger Vorstadt,100,98,66
165,2014,"04 Leipziger Vorstadt, Pieschen",100,98,65
166,2014,"05 Mickten, Kaditz, Trachau",100,100,76
167,2014,06 StB Klotzsche und nördliche OS,99,98,78
168,2014,07 StB Loschwitz und OS Schönfeld-Weißig,100,99,91
169,2014,"08 Blasewitz, Striesen",98,100,83
170,2014,"09 Tolkewitz, Seidnitz, Gruna",100,100,88
171,2014,10 StB Leuben,99,100,86
172,2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",99,100,84
173,2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",100,100,82
174,2014,"13 Südvorstadt, Zschertnitz",100,98,77
175,2014,"14 Mockritz, Coschütz, Plauen",100,100,83
176,2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",99,98,61
177,2014,16 Gorbitz,97,100,89
178,2014,17 Briesnitz und westliche OS,100,100,72
179,2014,18 Dresden gesamt,99,99,77
180,2016,01 StB Altstadt ohne Johannstadt,96,94,75
181,2016,02 Johannstadt,97,97,86
182,2016,03 StB Neustadt ohne Leipziger Vorstadt,100,100,60
183,2016,"04 Leipziger Vorstadt, Pieschen",99,98,59
184,2016,"05 Mickten, Kaditz, Trachau",98,99,67
185,2016,06 StB Klotzsche und nördliche OS,100,97,70
186,2016,07 StB Loschwitz und OS Schönfeld-Weißig,100,100,77
187,2016,"08 Blasewitz, Striesen",99,99,79
188,2016,"09 Tolkewitz, Seidnitz, Gruna",98,100,84
189,2016,10 StB Leuben,99,98,83
190,2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",98,98,82
191,2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",98,99,73
192,2016,"13 Südvorstadt, Zschertnitz",98,100,84
193,2016,"14 Mockritz, Coschütz, Plauen",100,99,77
194,2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",97,99,67
195,2016,16 Gorbitz,100,100,85
196,2016,17 Briesnitz und westliche OS,99,98,71
197,2016,18 Dresden gesamt,99,98,74
198,2018,01 StB Altstadt ohne Johannstadt,100,97,78
199,2018,02 Johannstadt,99,98,85
200,2018,03 StB Neustadt ohne Leipziger Vorstadt,97,95,69
201,2018,"04 Leipziger Vorstadt, Pieschen",98,95,65
202,2018,"05 Mickten, Kaditz, Trachau",97,99,72
203,2018,06 StB Klotzsche und nördliche OS,100,95,83
204,2018,07 StB Loschwitz und OS Schönfeld-Weißig,100,97,81
205,2018,"08 Blasewitz, Striesen",100,98,75
206,2018,"09 Tolkewitz, Seidnitz, Gruna",100,99,88
207,2018,10 StB Leuben,100,99,82
208,2018,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",96,98,84
209,2018,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",99,99,77
210,2018,"13 Südvorstadt, Zschertnitz",99,100,79
211,2018,"14 Mockritz, Coschütz, Plauen",100,100,85
212,2018,"15 Cotta, Löbtau, Naußlitz, Dölzschen",100,100,68
213,2018,16 Gorbitz,100,99,85
214,2018,17 Briesnitz und westliche OS,97,99,68
215,2018,18 Dresden gesamt,99,98,77
