Jahr,Stadtraum,Gestorbene
2011,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",245
2011,"13 Südvorstadt, Zschertnitz",183
2011,"14 Mockritz, Coschütz, Plauen",193
2011,"15 Cotta, Löbtau, Naußlitz, Dölzschen",241
2011,16 Gorbitz,283
2011,17 Briesnitz und westliche OS,177
2012,01 StB Altstadt ohne Johannstadt,565
2012,02 Johannstadt,468
2012,03 StB Neustadt ohne Leipziger Vorstadt,197
2012,"04 Leipziger Vorstadt, Pieschen",263
2012,"05 Mickten, Kaditz, Trachau",190
2012,06 StB Klotzsche und nördliche OS,265
2012,07 StB Loschwitz und OS Schönfeld-Weißig,327
2012,"08 Blasewitz, Striesen",337
2012,"09 Tolkewitz, Seidnitz, Gruna",311
2012,10 StB Leuben,395
2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",317
2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",223
2012,"13 Südvorstadt, Zschertnitz",206
2012,"14 Mockritz, Coschütz, Plauen",183
2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",252
2012,16 Gorbitz,274
2012,17 Briesnitz und westliche OS,155
2013,01 StB Altstadt ohne Johannstadt,654
2013,02 Johannstadt,473
2013,03 StB Neustadt ohne Leipziger Vorstadt,252
2013,"04 Leipziger Vorstadt, Pieschen",239
2013,"05 Mickten, Kaditz, Trachau",196
2013,06 StB Klotzsche und nördliche OS,289
2013,07 StB Loschwitz und OS Schönfeld-Weißig,310
2013,"08 Blasewitz, Striesen",430
2013,"09 Tolkewitz, Seidnitz, Gruna",294
2013,10 StB Leuben,455
2013,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",319
2013,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",260
2013,"13 Südvorstadt, Zschertnitz",208
2013,"14 Mockritz, Coschütz, Plauen",195
2013,"15 Cotta, Löbtau, Naußlitz, Dölzschen",295
2013,16 Gorbitz,301
2013,17 Briesnitz und westliche OS,164
2014,01 StB Altstadt ohne Johannstadt,576
2014,02 Johannstadt,461
2014,03 StB Neustadt ohne Leipziger Vorstadt,224
2014,"04 Leipziger Vorstadt, Pieschen",222
2014,"05 Mickten, Kaditz, Trachau",183
2014,06 StB Klotzsche und nördliche OS,282
2014,07 StB Loschwitz und OS Schönfeld-Weißig,290
2014,"08 Blasewitz, Striesen",390
2014,"09 Tolkewitz, Seidnitz, Gruna",299
2014,10 StB Leuben,408
2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",328
2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",268
2014,"13 Südvorstadt, Zschertnitz",193
2014,"14 Mockritz, Coschütz, Plauen",189
2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",278
2014,16 Gorbitz,269
2014,17 Briesnitz und westliche OS,147
2015,01 StB Altstadt ohne Johannstadt,613
2015,02 Johannstadt,461
2015,03 StB Neustadt ohne Leipziger Vorstadt,273
2015,"04 Leipziger Vorstadt, Pieschen",242
2015,"05 Mickten, Kaditz, Trachau",166
2015,06 StB Klotzsche und nördliche OS,329
2015,07 StB Loschwitz und OS Schönfeld-Weißig,309
2015,"08 Blasewitz, Striesen",387
