,Jahr,Stadtraum,Heizungsart,Anteil in %
156,1996,17 Briesnitz und westliche OS,Fernheizung,9
157,1996,17 Briesnitz und westliche OS,Zentralheizung oder Etagenheizung,56
158,1996,17 Briesnitz und westliche OS,Einzelraumheizung,35
159,1996,18 Dresden gesamt,Fernheizung,48
160,1996,18 Dresden gesamt,Zentralheizung oder Etagenheizung,29
161,1996,18 Dresden gesamt,Einzelraumheizung,23
162,1998,01 StB Altstadt ohne Johannstadt,Fernheizung,90
163,1998,01 StB Altstadt ohne Johannstadt,Zentralheizung oder Etagenheizung,8
164,1998,01 StB Altstadt ohne Johannstadt,Einzelraumheizung,2
165,1998,02 Johannstadt,Fernheizung,93
166,1998,02 Johannstadt,Zentralheizung oder Etagenheizung,4
167,1998,02 Johannstadt,Einzelraumheizung,4
168,1998,03 StB Neustadt ohne Leipziger Vorstadt,Fernheizung,59
169,1998,03 StB Neustadt ohne Leipziger Vorstadt,Zentralheizung oder Etagenheizung,32
170,1998,03 StB Neustadt ohne Leipziger Vorstadt,Einzelraumheizung,9
171,1998,"04 Leipziger Vorstadt, Pieschen",Fernheizung,13
172,1998,"04 Leipziger Vorstadt, Pieschen",Zentralheizung oder Etagenheizung,54
173,1998,"04 Leipziger Vorstadt, Pieschen",Einzelraumheizung,33
174,1998,"05 Mickten, Kaditz, Trachau",Fernheizung,33
175,1998,"05 Mickten, Kaditz, Trachau",Zentralheizung oder Etagenheizung,52
176,1998,"05 Mickten, Kaditz, Trachau",Einzelraumheizung,15
177,1998,06 StB Klotzsche und nördliche OS,Fernheizung,42
178,1998,06 StB Klotzsche und nördliche OS,Zentralheizung oder Etagenheizung,49
179,1998,06 StB Klotzsche und nördliche OS,Einzelraumheizung,9
180,1998,07 StB Loschwitz und OS Schönfeld-Weißig,Fernheizung,5
181,1998,07 StB Loschwitz und OS Schönfeld-Weißig,Zentralheizung oder Etagenheizung,83
182,1998,07 StB Loschwitz und OS Schönfeld-Weißig,Einzelraumheizung,12
183,1998,"08 Blasewitz, Striesen",Fernheizung,56
184,1998,"08 Blasewitz, Striesen",Zentralheizung oder Etagenheizung,36
185,1998,"08 Blasewitz, Striesen",Einzelraumheizung,9
186,1998,"09 Tolkewitz, Seidnitz, Gruna",Fernheizung,70
187,1998,"09 Tolkewitz, Seidnitz, Gruna",Zentralheizung oder Etagenheizung,19
188,1998,"09 Tolkewitz, Seidnitz, Gruna",Einzelraumheizung,11
189,1998,10 StB Leuben,Fernheizung,46
190,1998,10 StB Leuben,Zentralheizung oder Etagenheizung,42
191,1998,10 StB Leuben,Einzelraumheizung,12
192,1998,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Fernheizung,81
193,1998,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,17
194,1998,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Einzelraumheizung,2
195,1998,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Fernheizung,35
196,1998,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,56
197,1998,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Einzelraumheizung,9
198,1998,"13 Südvorstadt, Zschertnitz",Fernheizung,68
199,1998,"13 Südvorstadt, Zschertnitz",Zentralheizung oder Etagenheizung,20
200,1998,"13 Südvorstadt, Zschertnitz",Einzelraumheizung,11
201,1998,"14 Mockritz, Coschütz, Plauen",Fernheizung,35
202,1998,"14 Mockritz, Coschütz, Plauen",Zentralheizung oder Etagenheizung,51
203,1998,"14 Mockritz, Coschütz, Plauen",Einzelraumheizung,14
204,1998,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Fernheizung,20
205,1998,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Zentralheizung oder Etagenheizung,61
206,1998,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Einzelraumheizung,19
207,1998,16 Gorbitz,Fernheizung,97
208,1998,16 Gorbitz,Zentralheizung oder Etagenheizung,2
209,1998,16 Gorbitz,Einzelraumheizung,1
210,1998,17 Briesnitz und westliche OS,Fernheizung,10
211,1998,17 Briesnitz und westliche OS,Zentralheizung oder Etagenheizung,80
212,1998,17 Briesnitz und westliche OS,Einzelraumheizung,10
213,1998,18 Dresden gesamt,Fernheizung,54
214,1998,18 Dresden gesamt,Zentralheizung oder Etagenheizung,35
215,1998,18 Dresden gesamt,Einzelraumheizung,11
216,2002,01 StB Altstadt ohne Johannstadt,Fernheizung,87
217,2002,01 StB Altstadt ohne Johannstadt,Zentralheizung oder Etagenheizung,13
218,2002,01 StB Altstadt ohne Johannstadt,Einzelraumheizung,0
219,2002,02 Johannstadt,Fernheizung,79
220,2002,02 Johannstadt,Zentralheizung oder Etagenheizung,19
221,2002,02 Johannstadt,Einzelraumheizung,2
222,2002,03 StB Neustadt ohne Leipziger Vorstadt,Fernheizung,46
223,2002,03 StB Neustadt ohne Leipziger Vorstadt,Zentralheizung oder Etagenheizung,52
224,2002,03 StB Neustadt ohne Leipziger Vorstadt,Einzelraumheizung,2
225,2002,"04 Leipziger Vorstadt, Pieschen",Fernheizung,17
226,2002,"04 Leipziger Vorstadt, Pieschen",Zentralheizung oder Etagenheizung,78
227,2002,"04 Leipziger Vorstadt, Pieschen",Einzelraumheizung,5
228,2002,"05 Mickten, Kaditz, Trachau",Fernheizung,36
229,2002,"05 Mickten, Kaditz, Trachau",Zentralheizung oder Etagenheizung,59
230,2002,"05 Mickten, Kaditz, Trachau",Einzelraumheizung,5
231,2002,06 StB Klotzsche und nördliche OS,Fernheizung,27
232,2002,06 StB Klotzsche und nördliche OS,Zentralheizung oder Etagenheizung,70
233,2002,06 StB Klotzsche und nördliche OS,Einzelraumheizung,3
234,2002,07 StB Loschwitz und OS Schönfeld-Weißig,Fernheizung,7
235,2002,07 StB Loschwitz und OS Schönfeld-Weißig,Zentralheizung oder Etagenheizung,87
236,2002,07 StB Loschwitz und OS Schönfeld-Weißig,Einzelraumheizung,6
237,2002,"08 Blasewitz, Striesen",Fernheizung,53
238,2002,"08 Blasewitz, Striesen",Zentralheizung oder Etagenheizung,45
239,2002,"08 Blasewitz, Striesen",Einzelraumheizung,2
240,2002,"09 Tolkewitz, Seidnitz, Gruna",Fernheizung,76
241,2002,"09 Tolkewitz, Seidnitz, Gruna",Zentralheizung oder Etagenheizung,23
242,2002,"09 Tolkewitz, Seidnitz, Gruna",Einzelraumheizung,1
243,2002,10 StB Leuben,Fernheizung,46
244,2002,10 StB Leuben,Zentralheizung oder Etagenheizung,51
245,2002,10 StB Leuben,Einzelraumheizung,3
246,2002,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Fernheizung,81
247,2002,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,19
248,2002,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Einzelraumheizung,0
249,2002,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Fernheizung,38
250,2002,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,57
251,2002,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Einzelraumheizung,5
252,2002,"13 Südvorstadt, Zschertnitz",Fernheizung,76
253,2002,"13 Südvorstadt, Zschertnitz",Zentralheizung oder Etagenheizung,23
254,2002,"13 Südvorstadt, Zschertnitz",Einzelraumheizung,1
255,2002,"14 Mockritz, Coschütz, Plauen",Fernheizung,38
256,2002,"14 Mockritz, Coschütz, Plauen",Zentralheizung oder Etagenheizung,57
257,2002,"14 Mockritz, Coschütz, Plauen",Einzelraumheizung,6
258,2002,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Fernheizung,17
259,2002,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Zentralheizung oder Etagenheizung,77
260,2002,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Einzelraumheizung,7
261,2002,16 Gorbitz,Fernheizung,76
262,2002,16 Gorbitz,Zentralheizung oder Etagenheizung,24
263,2002,16 Gorbitz,Einzelraumheizung,0
264,2002,17 Briesnitz und westliche OS,Fernheizung,5
265,2002,17 Briesnitz und westliche OS,Zentralheizung oder Etagenheizung,85
266,2002,17 Briesnitz und westliche OS,Einzelraumheizung,10
267,2002,18 Dresden gesamt,Fernheizung,49
268,2002,18 Dresden gesamt,Zentralheizung oder Etagenheizung,48
269,2002,18 Dresden gesamt,Einzelraumheizung,3
270,2005,01 StB Altstadt ohne Johannstadt,Fernheizung,89
271,2005,01 StB Altstadt ohne Johannstadt,Zentralheizung oder Etagenheizung,11
272,2005,01 StB Altstadt ohne Johannstadt,Einzelraumheizung,1
273,2005,02 Johannstadt,Fernheizung,86
274,2005,02 Johannstadt,Zentralheizung oder Etagenheizung,13
275,2005,02 Johannstadt,Einzelraumheizung,1
276,2005,03 StB Neustadt ohne Leipziger Vorstadt,Fernheizung,49
277,2005,03 StB Neustadt ohne Leipziger Vorstadt,Zentralheizung oder Etagenheizung,47
278,2005,03 StB Neustadt ohne Leipziger Vorstadt,Einzelraumheizung,4
279,2005,"04 Leipziger Vorstadt, Pieschen",Fernheizung,19
280,2005,"04 Leipziger Vorstadt, Pieschen",Zentralheizung oder Etagenheizung,73
281,2005,"04 Leipziger Vorstadt, Pieschen",Einzelraumheizung,8
282,2005,"05 Mickten, Kaditz, Trachau",Fernheizung,30
283,2005,"05 Mickten, Kaditz, Trachau",Zentralheizung oder Etagenheizung,68
284,2005,"05 Mickten, Kaditz, Trachau",Einzelraumheizung,1
285,2005,06 StB Klotzsche und nördliche OS,Fernheizung,24
286,2005,06 StB Klotzsche und nördliche OS,Zentralheizung oder Etagenheizung,72
287,2005,06 StB Klotzsche und nördliche OS,Einzelraumheizung,4
288,2005,07 StB Loschwitz und OS Schönfeld-Weißig,Fernheizung,8
289,2005,07 StB Loschwitz und OS Schönfeld-Weißig,Zentralheizung oder Etagenheizung,86
290,2005,07 StB Loschwitz und OS Schönfeld-Weißig,Einzelraumheizung,6
291,2005,"08 Blasewitz, Striesen",Fernheizung,55
292,2005,"08 Blasewitz, Striesen",Zentralheizung oder Etagenheizung,45
293,2005,"08 Blasewitz, Striesen",Einzelraumheizung,0
294,2005,"09 Tolkewitz, Seidnitz, Gruna",Fernheizung,72
295,2005,"09 Tolkewitz, Seidnitz, Gruna",Zentralheizung oder Etagenheizung,28
296,2005,"09 Tolkewitz, Seidnitz, Gruna",Einzelraumheizung,1
297,2005,10 StB Leuben,Fernheizung,46
298,2005,10 StB Leuben,Zentralheizung oder Etagenheizung,54
299,2005,10 StB Leuben,Einzelraumheizung,0
300,2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Fernheizung,62
301,2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,35
302,2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Einzelraumheizung,3
303,2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Fernheizung,31
304,2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,67
305,2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Einzelraumheizung,2
306,2005,"13 Südvorstadt, Zschertnitz",Fernheizung,62
307,2005,"13 Südvorstadt, Zschertnitz",Zentralheizung oder Etagenheizung,37
308,2005,"13 Südvorstadt, Zschertnitz",Einzelraumheizung,1
309,2005,"14 Mockritz, Coschütz, Plauen",Fernheizung,36
310,2005,"14 Mockritz, Coschütz, Plauen",Zentralheizung oder Etagenheizung,64
311,2005,"14 Mockritz, Coschütz, Plauen",Einzelraumheizung,0
312,2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Fernheizung,20
313,2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Zentralheizung oder Etagenheizung,77
314,2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Einzelraumheizung,2
315,2005,16 Gorbitz,Fernheizung,90
316,2005,16 Gorbitz,Zentralheizung oder Etagenheizung,10
317,2005,16 Gorbitz,Einzelraumheizung,0
318,2005,17 Briesnitz und westliche OS,Fernheizung,9
319,2005,17 Briesnitz und westliche OS,Zentralheizung oder Etagenheizung,86
320,2005,17 Briesnitz und westliche OS,Einzelraumheizung,4
321,2005,18 Dresden gesamt,Fernheizung,48
322,2005,18 Dresden gesamt,Zentralheizung oder Etagenheizung,50
323,2005,18 Dresden gesamt,Einzelraumheizung,2
324,2007,01 StB Altstadt ohne Johannstadt,Fernheizung,79
325,2007,01 StB Altstadt ohne Johannstadt,Zentralheizung oder Etagenheizung,20
326,2007,01 StB Altstadt ohne Johannstadt,Einzelraumheizung,1
327,2007,02 Johannstadt,Fernheizung,79
328,2007,02 Johannstadt,Zentralheizung oder Etagenheizung,20
329,2007,02 Johannstadt,Einzelraumheizung,2
330,2007,03 StB Neustadt ohne Leipziger Vorstadt,Fernheizung,54
331,2007,03 StB Neustadt ohne Leipziger Vorstadt,Zentralheizung oder Etagenheizung,42
