Jahr,Stadtraum,mean_Wohndauer
2013,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",115.50283776069938
2013,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",123.92853923849526
2013,"13 Südvorstadt, Zschertnitz",117.1578899288716
2013,"14 Mockritz, Coschütz, Plauen",115.07595361455462
2013,"15 Cotta, Löbtau, Naußlitz, Dölzschen",121.60504762337196
2013,16 Gorbitz,107.96303905586414
2013,17 Briesnitz und westliche OS,121.29301219256705
2014,01 StB Altstadt ohne Johannstadt,123.70419471151313
2014,02 Johannstadt,126.0010959964652
2014,03 StB Neustadt ohne Leipziger Vorstadt,118.14377092439463
2014,"04 Leipziger Vorstadt, Pieschen",117.45936389374071
2014,"05 Mickten, Kaditz, Trachau",124.34279951783418
2014,06 StB Klotzsche und nördliche OS,122.91431228042633
2014,07 StB Loschwitz und OS Schönfeld-Weißig,124.40818459728003
2014,"08 Blasewitz, Striesen",124.44060586122282
2014,"09 Tolkewitz, Seidnitz, Gruna",126.23744684681047
2014,10 StB Leuben,121.27805641943893
2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",117.89152924000352
2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",125.22967611666947
2014,"13 Südvorstadt, Zschertnitz",118.42643420854381
2014,"14 Mockritz, Coschütz, Plauen",117.06838521516029
2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",121.21973934559234
2014,16 Gorbitz,108.87516923349226
2014,17 Briesnitz und westliche OS,120.44970060822097
2015,01 StB Altstadt ohne Johannstadt,123.26910243730502
2015,02 Johannstadt,126.49289837160791
2015,03 StB Neustadt ohne Leipziger Vorstadt,115.66961238068403
2015,"04 Leipziger Vorstadt, Pieschen",117.30042926065569
2015,"05 Mickten, Kaditz, Trachau",123.49233674251076
2015,06 StB Klotzsche und nördliche OS,120.61944390963002
2015,07 StB Loschwitz und OS Schönfeld-Weißig,119.88112196246294
2015,"08 Blasewitz, Striesen",121.69051282364558
2015,"09 Tolkewitz, Seidnitz, Gruna",128.53177263495866
2015,10 StB Leuben,121.25455449044664
2015,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",119.30435867044294
2015,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",124.94944832453466
2015,"13 Südvorstadt, Zschertnitz",120.49816539072351
2015,"14 Mockritz, Coschütz, Plauen",115.83818767443135
2015,"15 Cotta, Löbtau, Naußlitz, Dölzschen",117.32303394399567
2015,16 Gorbitz,108.65548768651178
2015,17 Briesnitz und westliche OS,119.61747675612266
2016,01 StB Altstadt ohne Johannstadt,121.20677121982983
2016,02 Johannstadt,124.92176910452493
2016,03 StB Neustadt ohne Leipziger Vorstadt,115.442704567036
2016,"04 Leipziger Vorstadt, Pieschen",115.44520541964931
2016,"05 Mickten, Kaditz, Trachau",123.09493130263559
2016,06 StB Klotzsche und nördliche OS,121.2090419980276
2016,07 StB Loschwitz und OS Schönfeld-Weißig,119.0528066083616
2016,"08 Blasewitz, Striesen",120.60529775030284
2016,"09 Tolkewitz, Seidnitz, Gruna",125.12305833531285
2016,10 StB Leuben,120.63882797433892
2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",118.56922043684023
2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",119.6148471856486
2016,"13 Südvorstadt, Zschertnitz",120.76009391316701
2016,"14 Mockritz, Coschütz, Plauen",116.91153521372722
2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",116.45933289195017
2016,16 Gorbitz,109.61943765259724
2016,17 Briesnitz und westliche OS,118.9160333863913
2017,01 StB Altstadt ohne Johannstadt,121.15041638518461
2017,02 Johannstadt,123.8733172592246
2017,03 StB Neustadt ohne Leipziger Vorstadt,114.96924960553294
2017,"04 Leipziger Vorstadt, Pieschen",111.27330552409313
2017,"05 Mickten, Kaditz, Trachau",122.00443245656243
2017,06 StB Klotzsche und nördliche OS,121.96511128214559
2017,07 StB Loschwitz und OS Schönfeld-Weißig,118.14141003414544
2017,"08 Blasewitz, Striesen",119.1206558862898
2017,"09 Tolkewitz, Seidnitz, Gruna",123.24098887713531
2017,10 StB Leuben,120.9963041900041
2017,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",117.04769226461104
2017,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",116.96069990703513
2017,"13 Südvorstadt, Zschertnitz",119.83182475140221
2017,"14 Mockritz, Coschütz, Plauen",114.74682145258733
2017,"15 Cotta, Löbtau, Naußlitz, Dölzschen",113.49838101610612
2017,16 Gorbitz,110.55501179167022
2017,17 Briesnitz und westliche OS,117.13576848246726
2018,01 StB Altstadt ohne Johannstadt,118.92323298487618
2018,02 Johannstadt,122.78398332151836
2018,03 StB Neustadt ohne Leipziger Vorstadt,110.41715557869577
2018,"04 Leipziger Vorstadt, Pieschen",110.29803468500175
2018,"05 Mickten, Kaditz, Trachau",120.06193194273806
2018,06 StB Klotzsche und nördliche OS,121.77512394344505
2018,07 StB Loschwitz und OS Schönfeld-Weißig,117.50094858032854
2018,"08 Blasewitz, Striesen",117.44141522024616
2018,"09 Tolkewitz, Seidnitz, Gruna",123.61336849050959
2018,10 StB Leuben,120.96944365912698
2018,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",116.27204248570489
2018,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",115.5943671295776
2018,"13 Südvorstadt, Zschertnitz",118.50827757611135
2018,"14 Mockritz, Coschütz, Plauen",114.41167716823755
2018,"15 Cotta, Löbtau, Naußlitz, Dölzschen",112.82311726924634
2018,16 Gorbitz,111.93716858739485
2018,17 Briesnitz und westliche OS,116.72546958987033
