Jahr,Stadtraum,Geborene
2004,16 Gorbitz,113
2004,17 Briesnitz und westliche OS,178
2005,01 StB Altstadt ohne Johannstadt,152
2005,02 Johannstadt,174
2005,03 StB Neustadt ohne Leipziger Vorstadt,438
2005,"04 Leipziger Vorstadt, Pieschen",449
2005,"05 Mickten, Kaditz, Trachau",320
2005,06 StB Klotzsche und nördliche OS,265
2005,07 StB Loschwitz und OS Schönfeld-Weißig,282
2005,"08 Blasewitz, Striesen",534
2005,"09 Tolkewitz, Seidnitz, Gruna",280
2005,10 StB Leuben,302
2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",167
2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",261
2005,"13 Südvorstadt, Zschertnitz",192
2005,"14 Mockritz, Coschütz, Plauen",223
2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",417
2005,16 Gorbitz,116
2005,17 Briesnitz und westliche OS,168
2006,01 StB Altstadt ohne Johannstadt,162
2006,02 Johannstadt,181
2006,03 StB Neustadt ohne Leipziger Vorstadt,443
2006,"04 Leipziger Vorstadt, Pieschen",464
2006,"05 Mickten, Kaditz, Trachau",333
2006,06 StB Klotzsche und nördliche OS,275
2006,07 StB Loschwitz und OS Schönfeld-Weißig,290
2006,"08 Blasewitz, Striesen",553
2006,"09 Tolkewitz, Seidnitz, Gruna",286
2006,10 StB Leuben,326
2006,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",141
2006,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",278
2006,"13 Südvorstadt, Zschertnitz",198
2006,"14 Mockritz, Coschütz, Plauen",224
2006,"15 Cotta, Löbtau, Naußlitz, Dölzschen",416
2006,16 Gorbitz,145
2006,17 Briesnitz und westliche OS,161
2007,01 StB Altstadt ohne Johannstadt,171
2007,02 Johannstadt,202
2007,03 StB Neustadt ohne Leipziger Vorstadt,519
2007,"04 Leipziger Vorstadt, Pieschen",515
2007,"05 Mickten, Kaditz, Trachau",372
2007,06 StB Klotzsche und nördliche OS,267
2007,07 StB Loschwitz und OS Schönfeld-Weißig,323
2007,"08 Blasewitz, Striesen",615
2007,"09 Tolkewitz, Seidnitz, Gruna",276
2007,10 StB Leuben,338
2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",178
2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",299
2007,"13 Südvorstadt, Zschertnitz",190
2007,"14 Mockritz, Coschütz, Plauen",205
2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",478
2007,16 Gorbitz,123
2007,17 Briesnitz und westliche OS,189
2008,01 StB Altstadt ohne Johannstadt,209
2008,02 Johannstadt,181
2008,03 StB Neustadt ohne Leipziger Vorstadt,525
2008,"04 Leipziger Vorstadt, Pieschen",513
2008,"05 Mickten, Kaditz, Trachau",347
2008,06 StB Klotzsche und nördliche OS,256
2008,07 StB Loschwitz und OS Schönfeld-Weißig,292
2008,"08 Blasewitz, Striesen",615
2008,"09 Tolkewitz, Seidnitz, Gruna",340
2008,10 StB Leuben,333
2008,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",194
2008,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",303
2008,"13 Südvorstadt, Zschertnitz",219
2008,"14 Mockritz, Coschütz, Plauen",261
2008,"15 Cotta, Löbtau, Naußlitz, Dölzschen",528
2008,16 Gorbitz,141
2008,17 Briesnitz und westliche OS,193
2009,01 StB Altstadt ohne Johannstadt,230
2009,02 Johannstadt,198
2009,03 StB Neustadt ohne Leipziger Vorstadt,532
2009,"04 Leipziger Vorstadt, Pieschen",547
2009,"05 Mickten, Kaditz, Trachau",354
2009,06 StB Klotzsche und nördliche OS,233
2009,07 StB Loschwitz und OS Schönfeld-Weißig,273
2009,"08 Blasewitz, Striesen",632
2009,"09 Tolkewitz, Seidnitz, Gruna",310
2009,10 StB Leuben,350
2009,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",184
2009,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",320
2009,"13 Südvorstadt, Zschertnitz",241
2009,"14 Mockritz, Coschütz, Plauen",274
2009,"15 Cotta, Löbtau, Naußlitz, Dölzschen",496
2009,16 Gorbitz,168
2009,17 Briesnitz und westliche OS,177
2010,01 StB Altstadt ohne Johannstadt,213
2010,02 Johannstadt,193
2010,03 StB Neustadt ohne Leipziger Vorstadt,550
2010,"04 Leipziger Vorstadt, Pieschen",592
2010,"05 Mickten, Kaditz, Trachau",407
2010,06 StB Klotzsche und nördliche OS,271
