Jahr,Stadtraum,Anzahl_Kinder_pro_Haushalt
2010,"09 Tolkewitz, Seidnitz, Gruna",1.5702702702702702
2010,10 StB Leuben,1.5735815602836878
2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.5867052023121389
2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5597165991902835
2010,"13 Südvorstadt, Zschertnitz",1.5599315068493151
2010,"14 Mockritz, Coschütz, Plauen",1.5696517412935322
2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5542035398230087
2010,16 Gorbitz,1.606012658227848
2010,17 Briesnitz und westliche OS,1.5357142857142856
2011,01 StB Altstadt ohne Johannstadt,1.591880341880342
2011,02 Johannstadt,1.5833333333333335
2011,03 StB Neustadt ohne Leipziger Vorstadt,1.543613707165109
2011,"04 Leipziger Vorstadt, Pieschen",1.5852112676056338
2011,"05 Mickten, Kaditz, Trachau",1.5636363636363635
2011,06 StB Klotzsche und nördliche OS,1.5480182926829267
2011,07 StB Loschwitz und OS Schönfeld-Weißig,1.546242774566474
2011,"08 Blasewitz, Striesen",1.5376157407407407
2011,"09 Tolkewitz, Seidnitz, Gruna",1.5731707317073171
2011,10 StB Leuben,1.56740614334471
2011,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.5947802197802199
2011,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5646718146718146
2011,"13 Südvorstadt, Zschertnitz",1.5633116883116882
2011,"14 Mockritz, Coschütz, Plauen",1.563095238095238
2011,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5475206611570247
2011,16 Gorbitz,1.6036585365853657
2011,17 Briesnitz und westliche OS,1.538109756097561
2012,01 StB Altstadt ohne Johannstadt,1.596774193548387
2012,02 Johannstadt,1.580827067669173
2012,03 StB Neustadt ohne Leipziger Vorstadt,1.5461432506887052
2012,"04 Leipziger Vorstadt, Pieschen",1.5751689189189189
2012,"05 Mickten, Kaditz, Trachau",1.5570539419087137
2012,06 StB Klotzsche und nördliche OS,1.5467359050445104
2012,07 StB Loschwitz und OS Schönfeld-Weißig,1.5434782608695652
2012,"08 Blasewitz, Striesen",1.5433114035087718
2012,"09 Tolkewitz, Seidnitz, Gruna",1.5712719298245614
2012,10 StB Leuben,1.5678807947019866
2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.5985221674876846
2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5618374558303887
2012,"13 Südvorstadt, Zschertnitz",1.5741279069767442
2012,"14 Mockritz, Coschütz, Plauen",1.5495391705069124
2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5445075757575757
2012,16 Gorbitz,1.596875
2012,17 Briesnitz und westliche OS,1.55
2013,01 StB Altstadt ohne Johannstadt,1.6050420168067228
2013,02 Johannstadt,1.566546762589928
2013,03 StB Neustadt ohne Leipziger Vorstadt,1.5387596899224807
2013,"04 Leipziger Vorstadt, Pieschen",1.5646368769470405
2013,"05 Mickten, Kaditz, Trachau",1.5527777777777778
2013,06 StB Klotzsche und nördliche OS,1.548529411764706
2013,07 StB Loschwitz und OS Schönfeld-Weißig,1.543640897755611
2013,"08 Blasewitz, Striesen",1.5445134575569357
2013,"09 Tolkewitz, Seidnitz, Gruna",1.5642857142857143
2013,10 StB Leuben,1.5663934426229509
2013,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.5963983050847457
2013,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5622923588039868
2013,"13 Südvorstadt, Zschertnitz",1.5733532934131738
2013,"14 Mockritz, Coschütz, Plauen",1.5508658008658007
2013,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5381205673758864
2013,16 Gorbitz,1.6069651741293534
2013,17 Briesnitz und westliche OS,1.549492385786802
2014,01 StB Altstadt ohne Johannstadt,1.5857664233576643
2014,02 Johannstadt,1.5509868421052633
2014,03 StB Neustadt ohne Leipziger Vorstadt,1.5392030848329048
2014,"04 Leipziger Vorstadt, Pieschen",1.5576097420100117
2014,"05 Mickten, Kaditz, Trachau",1.5531716417910446
2014,06 StB Klotzsche und nördliche OS,1.5457063711911356
2014,07 StB Loschwitz und OS Schönfeld-Weißig,1.5472488038277512
2014,"08 Blasewitz, Striesen",1.5515625
2014,"09 Tolkewitz, Seidnitz, Gruna",1.5694444444444444
2014,10 StB Leuben,1.5638801261829653
